192.168.1.,154880
192.168.2.,40192
192.168.3.,10512
192.168.4.,8464
192.168.5.,9472
192.168.6.,1936
192.168.7.,3928
192.168.8.,2800
192.168.9.,2192
192.168.10.,29952
192.168.11.,3872
192.168.12.,3312
192.168.13.,1904
192.168.14.,2840
192.168.15.,1836
192.168.16.,1552
192.168.17.,3280
192.168.18.,1536
192.168.19.,6080
192.168.20.,5048
192.168.21.,1616
192.168.22.,1896
192.168.23.,2104
192.168.24.,1872
192.168.25.,4176
192.168.26.,2312
192.168.27.,2048
192.168.28.,2320
192.168.29.,9472
192.168.30.,2880
192.168.31.,2080
192.168.32.,1216
192.168.33.,3736
192.168.34.,2956
192.168.35.,1616
192.168.36.,1368
192.168.37.,1586
192.168.38.,1000
192.168.39.,4248
192.168.40.,1836
192.168.41.,1316
192.168.42.,5196
192.168.43.,3672
192.168.44.,2544
192.168.45.,3388
192.168.46.,2908
192.168.47.,2400
192.168.48.,2640
192.168.49.,1952
192.168.50.,3512
192.168.51.,4208
192.168.52.,2384
192.168.53.,5568
192.168.54.,828
192.168.55.,1488
192.168.56.,6896
192.168.57.,2184
192.168.58.,2800
192.168.59.,2648
192.168.60.,1896
192.168.61.,1238
192.168.62.,659
192.168.63.,974
192.168.64.,2672
192.168.65.,3292
192.168.66.,1748
192.168.67.,4880
192.168.68.,2656
192.168.69.,2072
192.168.70.,3480
192.168.71.,1152
192.168.72.,1460
192.168.73.,601
192.168.74.,658
192.168.75.,1178
192.168.76.,794
192.168.77.,1976
192.168.78.,2140
192.168.79.,1385
192.168.80.,1552
192.168.81.,658
192.168.82.,1474
192.168.83.,1114
192.168.84.,1062
192.168.85.,1562
192.168.86.,2072
192.168.87.,812
192.168.88.,1544
192.168.89.,1204
192.168.90.,2988
192.168.91.,1029
192.168.92.,1428
192.168.93.,958
192.168.94.,446
192.168.95.,570
192.168.96.,6496
192.168.97.,179
192.168.98.,876
192.168.99.,9488
192.168.100.,13536
192.168.101.,1624
192.168.102.,3648
192.168.103.,3152
192.168.104.,4344
192.168.105.,1204
192.168.157.,1244
192.168.158.,266
192.168.159.,6592
192.168.160.,6912
192.168.161.,3796
192.168.162.,462
192.168.163.,494
192.168.164.,300
192.168.165.,416
